idx         -e        time(s)           relative         enabled geometry description                                              
244    t103,91         0.0091             0.6097         EXCL: solidXJfixture solidSJFixture                                       
245   t103,111         0.0091             0.6097         EXCL: solidXJfixture HamamatsuR12860_PMT_20inch_grid_solid                
246    t103,96         0.0091             0.6098         EXCL: solidXJfixture sStrut                                               
247    t103,82         0.0091             0.6099         EXCL: solidXJfixture ZC2.A04_B05_FlangeI_Web_FlangeII                     
248   t103,121         0.0091             0.6100         EXCL: solidXJfixture NNVTMCPPMT_PMT_20inch_mcp_solid                      
249   t103,120         0.0091             0.6106         EXCL: solidXJfixture NNVTMCPPMT_PMT_20inch_tube_solid                     
250    t103,42         0.0091             0.6111         EXCL: solidXJfixture GLb3.up09_FlangeI_Web_FlangeII                       
251    t103,32         0.0091             0.6114         EXCL: solidXJfixture GLw2.bt03_bt04_FlangeI_Web_FlangeII                  
252    t103,98         0.0091             0.6116         EXCL: solidXJfixture sStrutBallhead                                       
253    t103,26         0.0091             0.6117         EXCL: solidXJfixture GLw1.up02_up03_FlangeI_Web_FlangeII                  
254   t103,130         0.0091             0.6119         EXCL: solidXJfixture sChimneyAcrylic                                      
255     t103,3         0.0091             0.6120         EXCL: solidXJfixture PoolCoversub                                         
256    t103,58         0.0091             0.6123         EXCL: solidXJfixture GLb1.bt07_FlangeI_Web_FlangeII                       
257    t103,77         0.0091             0.6123         EXCL: solidXJfixture ZC2.A04_B04_FlangeI_Web_FlangeII                     
258     t103,6         0.0091             0.6123         EXCL: solidXJfixture Upper_Tyvek_tube                                     
259   t103,123         0.0091             0.6128         EXCL: solidXJfixture NNVTMCPPMT_PMT_20inch_pmt_solid_head                 
260    t103,18         0.0091             0.6129         EXCL: solidXJfixture GLw1.up10_up11_FlangeI_Web_FlangeII                  
261    t103,45         0.0091             0.6129         EXCL: solidXJfixture GLb2.up06_FlangeI_Web_FlangeII                       
262    t103,51         0.0091             0.6132         EXCL: solidXJfixture GLb2.equ_FlangeI_Web_FlangeII                        
